5ZP2PxPlSCPKHFSFL1x9OJ;1031.0;-;Yung Potato;33
2hahtdJusGYC77DKod4qfB;107369.0;eurovision|latin talent show|latin viral pop|musica catalana|reggae catala|spanish pop;Miki Núñez;57
2fJ2vi4PUSxyvYaeq0FTbE;77727.0;disco|funk|minneapolis sound|post-disco|quiet storm;Change;52
5MKlW2yNBLEdPbjbZz6FIf;9.0;-;Freddy Dom;26
1XjkajTCuInbWYxcxPvFtP;16611.0;celtic|irish country|irish folk;Liam Clancy;42
1FpxWLEKhs3fsDL1fXDBHl;195.0;-;Ravindra Upadhyay;40
1WyNgTvZVTkzMvM8TeAIpu;2149.0;classic belgian pop;Liliane Saint-Pierre;27
642IGmyIGSv4Gqf8DjuEDw;4968.0;hungarian pop;Szakács Gergő;43
2naMblM4e97RxtsCEIJyHN;185.0;-;Soesi B;36
05YoU5A41xjMz48wELAWBw;4221.0;finnish hip hop|finnish trap|suomirap;Pajafella;37
4wck1fvaBpmJNFaeDT1Laa;69339.0;classic polish pop|polish pop;Czerwone Gitary;46
2D9iXQlSDmG6RGHLIIR4n3;45.0;greek jazz;Laikedelika;19
6c7bGIcrxaMdYSn6htbHj0;77110.0;afro soul|south african house|south african pop|south african pop dance;Mi Casa;53
1qCOBZplMcXhK9wxsg7QMY;3900.0;-;潘裕文;34
21h8E3aA7a9mjcUHbLpjxf;16795.0;classical performance|classical piano|ukrainian classical piano;Emil Gilels;42
3sLXzn7CKmzQ3r2pnYfzAo;42629.0;bangla|indian folk|indian rock|kolkata indie;Fossils;37
2YYb9XAYl7ePSPIvQ3hOL4;4799.0;-;Zaperoko;26
1nr2UtzP8aCphyHM3IEZ9P;2925.0;texas country;Foster And Lloyd;27
2JlwKfQpBmPFip5JT4d7VG;375.0;-;Alisha Thomas;43
16G3LeutfEBbgUTjrDoGlm;4586.0;-;Morphia;49
4R3U54HaBxqbw1ey5lMcXQ;952.0;deep adult standards;Troy Shondell;16
5diAzb0BD6mSdU1xOhM7dc;27735.0;nueva cancion|tango|tango cancion;Adriana Varela;43
0icPLZJXZvcHRuASWUwYvy;2016.0;modern reggae;Ras Demo;31
3cGghqrVTd3niWn9olcGYS;1241.0;soulful house;Anane;35
03Yb3iBy9GCifXiATEFcit;2665458.0;latin talent show|mariachi|ranchera;Pepe Aguilar;75
7ue74dvsG3KabOLw91pHTl;1566.0;barnemusikk;Vuggeviser Og Vuggesanger Fe;36
1UGwqiX4QA7R9hNBwzjavF;13742.0;alternative pop|alternative rock|gbvfi|knoxville indie|power pop;Superdrag;34
7K4bO1W0zaxO3n4OUBeQUA;26.0;gregorian chant;Chorale des Pères du Saint-Esprit du Grand Scolasticat de Chevilly;1
3WfD8P9jFKSeeFf8FIqqak;63.0;-;Werner Andreas Albert;40
4Tv1Wqij7174LsWwLWQCuu;343.0;-;Myrskylyhty;20
1l8OUvGeEGGPDG0elD77h3;28.0;-;Viktors Zemgals;7
6aGmKxXoKrSdovRUn8MBhZ;230822.0;polish pop;Margaret;56
69Mg1bgPJAYaPpDHe4BlYi;1479.0;indonesian city pop;Trie Utami;27
0X9FnzK1yB8Jl5pc6YpQFK;8985.0;classic sinhala pop|sinhala pop;Rookantha Goonatillake;35
3xelkdjxzCCqPmNznTSqtj;3167.0;classic mandopop;吳奇隆;30
1qCTWVxt74ULl0u12pjnTc;3655.0;bossa nova;Odette Lara;23
5ChF3i92IPZHduM7jN3dpg;2040859.0;big room|dance pop|dutch edm|dutch house|edm|electro house|pop dance|pop edm|progressive electro house|progressive house|tropical house;Nicky Romero;70
7rE1MSPTyk3HtVATtcykE6;974.0;deep uplifting trance;Ron Hagen;21
0qG2Tf6fJaCuWKGz1IitKa;121885.0;chanson|electro-pop francais|french indie folk|french indie pop|french rock|swiss rock;Moriarty;57
6YFrVMB5AEMZ2rB3T0wyUQ;8072.0;children's music|nursery;Belle and the Nursery Rhymes Band;48
5OA0c8bZiylr2lyZM6cKFW;56.0;-;Norie Suzuki;5
7hrz1an870QhmhXsIsj7VV;2110.0;-;Ilona;32
35ufIa5SJNtsQMIKrQeYfN;35922.0;christian music|christian relaxative|deep christian rock|roots worship|worship;Michael Card;47
6o7TsOGOEF5Mqpiz2KCyWE;1103493.0;russian hip hop|russian pop;HammAli & Navai;64
58ICshZ0AgBMNJiLHK3U8l;109432.0;uk hip hop;Deno;63
7DRS6ueEVcwqn8f4AADpfQ;3.0;-;Clement Krauss;0
0CLfzcggLRM68jV5kOqdSL;236.0;-;Avner Kenner;30
0TSzBReStEMuZQ7wYgxk6s;2717.0;iskelma;Janne Raappana;31
5fyDppLDl1juIu1BcUT5zh;59080.0;uk dance;Digital Farm Animals;75
5ELrkAefqw6o4EIMlAk1jQ;935.0;morna;Titina;11
3tJELJoPZ4VTKmL0vppqLj;679519.0;turkish hip hop|turkish trap|turkish trap pop;Contra;68
4ORSNkNYSzva169PBZCzvy;18453.0;avant-garde jazz|bebop|contemporary jazz|contemporary post-bop|cool jazz|free improvisation|free jazz|hard bop|jazz|jazz funk|jazz piano|soul jazz;Andrew Hill;32
3pQLGxg4rVXNnlHG4pqRPz;101.0;classic bulgarian pop;Vassil Naydenov;5
7n8QNNHYcQZwQFzQNNVmwj;326.0;-;Stuart Hamblen;11
4VlABeMf02Y3Wxibet2iZ8;34245.0;pinoy rock;Orient Pearl;39
3mR3SDuVHstajLwSt3Uxrf;0.0;-;Michael Jary;0
6nhSw5sN0dy2e2gFtSxlTU;22509.0;magyar trap;USNK;33
1Xxf8wBRGLlzFA8uh6r6dC;914.0;-;แซ้งค์ ปฎิวัติ เรืองศรี;16
5hHwGQ5A4rvBbDK90fdRfg;562.0;barnemusikk|classic norwegian pop;Vidar Lønn-Arnesen;24
2PUyeJkrdcOntByKHmnKtv;54389.0;peruvian punk|peruvian rock;Cuchillazo;40
698p6jwdLCrR8gjDp5wedG;556.0;-;Tatanka;28
0OLFFoPfVpyftCaBX6pCTs;14154.0;-;ปาน ธนพร;34
65CuayrKYxHvj0WKdoHvkJ;936.0;-;Orelipoiss;15
0V0FqHnQl0cTAPUFlrKvHF;20.0;-;The Singing Gods;1
5ODkL8XS1Qdthom9SRUZOu;853.0;-;Tony Aguilar;8
58R7CyhzUExO9S08WvhZ1x;9003.0;danish hip hop;Tramper Torben;33
0bwRoL3Q12u1FuEsT3X0cs;542.0;-;Robin Aristo;16
5NenY2Jl9wwLRxf86go4Y8;36256.0;reggaeton chileno|reggaeton flow|trap latino;Fran C;41
2d5lQo9YQ1DkAsBKTRp7Iu;127032.0;bossa nova cover|coverchill;Karen Souza;63
1pDF5UltcypyatITA3Pduo;18634.0;tollywood;Mangli;61
6sXWE3eSY59H6zy1tiRPue;14477.0;italian adult pop;Paola & Chiara;40
3awJlqJwdSep7QwKtARvaH;128.0;frankfurt electronic;Holger Flinsch;1
6jlUfX55L3kcBTK5zvLctN;13702.0;champeta;Eddy Jay;31
79IacRiHw9ppjbHOYre3wz;469.0;-;Quantum Jump;13
4gGTCN9q4L8H3xpo7W3tAx;1789.0;early modern classical;Erwin Schulhoff;22
1c0MlpWxemhlmVbaX6vkeb;9194.0;japanese folk;ふきのとう;29
2NtGOVTuHBMDfR5PMNPBGT;21171.0;brill building pop|classic girl group|doo-wop|motown|philly soul|rhythm and blues;Dee Dee Sharp;41
0ATxyDnFvftkIT21OZu80N;3615.0;rock uruguayo;Laura Canoura;26
4fRa5jSbLX9QFIFdJH53re;1499.0;sunshine pop;Peppermint Rainbow;16
1y3jvQYxG72cwKLCH8fSmc;637.0;-;James;37
0efPzYd3bDvvPZFUIFI6iJ;3134.0;-;Maya Belsitzman & Matan Ephrat;27
28ZDaobarpiyxFtfg11sS8;2704.0;cantopop;梁釗峰;34
4mhFPsNcp2vvAIBvR36lCW;25.0;-;Lenita Lauren;4
4C7oQCCnEm59KXmNDx8w1l;5123.0;rock uruguayo;Socio;29
3fll16LLw6kdDxWzSpJPEQ;62701.0;-;Malu;72
5rmritRzQGUOdk4HKYRnXl;1653.0;-;El Canario Del Amargue;17
48nohy74MDMK8j5ztDUbKD;44.0;orchestral performance;Stefan Sanderling;26
579Ncba3u16DyUSrvxctnx;2836.0;early reggae|rock steady;The Hippy Boys;20
4tX2TplrkIP4v05BNC903e;1765427.0;album rock|classic rock|country rock|folk rock|hard rock|heartland rock|mellow gold|pop rock|psychedelic rock|rock|roots rock|soft rock;Tom Petty and the Heartbreakers;72
6ULHVtDKDFJEgfS8rjsgiJ;556.0;japanese instrumental;Sapatos;35
3t2YGPlRfxGNhDTwTwyHPb;66053.0;-;Toshi Kubota;31
3FTKP1k9VbOng3m1rgnsqx;218729.0;dutch americana|dutch pop|dutch rock;Ilse DeLange;60
5uBOKfCCQlO6qrNLauUSOH;1365.0;polish pop;Kasia Klich;27
7qWIdNXi2WcUQLltvtsZiQ;374.0;indonesian pop;Adriansyah Martin;37
5mrwZhvK7J8K34cWeFG3ru;8094.0;german house|hamburg electronic;Boris Dlugosch;54
1YuD4C76P0aCRNMLFzP0RS;41248.0;pinoy rock;Dong Abay;37
0mFfdcBhPi63VeT3VYt7UF;5134.0;classic indo pop|indonesian city pop;Iga Mawarni;22
1cm1Ut8HetBGijgyAkm3qp;113.0;classic iskelma;Ritva Simuna;1
5nkzSFYwr8GJcwHT6vbbYL;655.0;-;Ruben Haze;48
6MkZo7yoAX2YHsdnZgRVJo;557.0;-;Forest Pooky;3
5x4Iwcf3vsI6w2kEMJrjE1;1622.0;rebetiko;Nikos Gounaris;16
5nuipt5MF5Np09BWob9N6N;2468.0;-;Ewan J Phillips;46
5PDBwi0gyEV0UPRV630PpO;2459.0;-;Star Academy I;21
5VgWZXITztLG2RljEADXLS;172.0;-;Creme D'Cocoa;10
1krpGKWV1SdU20yAQVJ2QQ;30.0;-;Kari Medaas;6
4lVlCeGaXCcOhSgsrHfKDC;2032.0;polish jazz;Mieczysław Kosz;14
3BApgOPiuES6zVJ78mKNGo;7545.0;british folk|traditional british folk;Jon Boden;42
2JjoUSP8dUA7UhlWW59fK1;304863.0;adoracion|latin christian|latin worship;Esperanza de Vida;52
6opESFJkvzVlamxsNqEi8p;26.0;-;Tony Graham;1
2DaDoR6WXStRctDQDWWQpI;88603.0;australian alternative rock|australian rock;Baby Animals;46
6sqXIwIIs1LWj6OQuBVPpR;6346.0;mainland chinese pop;徐良;36
3rZZx8SIdrNh4o7K9KyMoK;9.0;-;Rodney Williams;3
0ofnx4Sv5YtKdqUfPORYC6;51.0;-;Sophie St. Laurent;8
6jNyNAMv2gNLnfaP0bzo7y;15397.0;american romanticism|classical|concert band|marching band;John Philip Sousa;42
5dncbrnveDMX9DgxcedeUg;39470.0;deep house|disco house|house|latin house|soulful house|vocal house;Louie Vega;55
6aQvNB4fqHc2gCe6IvmpuH;71.0;-;Valters Frīdenbergs;15
4rEMaUDWxL79XIE8DRMWzm;5187.0;classic danish pop;Svedbanken;30
1fixTBy0r22vTuK2sQNAqY;2288.0;big beat;Jacknife Lee;31
364fBwwx3s5jbfL90uDXys;1005.0;-;Nico Gomez And His Afro Percussion Inc.;19
0uxHesnUq0xrwLlNbinnjw;0.0;-;Raúl Abríl;0
7aD1kSF3KjJCUXNhqW8O2I;19650.0;classic polish pop|polish pop;Brathanki;42
44dtVuy3JdjkJ0PqVh4nKy;2838.0;polish trap;Dio Mudara;40
6tBMBvQxpMJRuAZHEdCXSs;4650.0;dansband;Berth Idoffs;34
6wul19KorlNmWnZMyoMBrx;8171.0;merengue|merengue tipico;Agapito Pascual;13
2MXqrUj9tDxatgDhQFkAQg;11.0;-;Tommy & Jimmy Dorsey;0
6rarLiS3EtKoAyMgslaCub;2004.0;classic schlager;Henry Valentino;40
0uIyzjmP48YI0dpgdAjdeI;10259.0;-;The Praise Baby Collection;52
12OmItvgh4hhi9mSCN3gk2;1282.0;polish classical;Stanisław Moniuszko;22
4DjzPvLse7sYU71Rj493xz;0.0;-;Jack Smith & His Orchestra;0
1v3tdpIdBSW14rHUfiEVOv;448560.0;contemporary country|country|country dawn|country pop|country road|modern country rock;Lauren Alaina;70
4WfXu0xIHhthU5Jb5x3hRq;13596.0;punjabi pop;Mista Baaz;53
2F33WBXlqBzPqel3sa0d6z;830.0;j-indie|japanese shoegaze;Shuntaro Okino;16
2lMEe12j43Se24Jrfk3pyl;650.0;boogie-woogie|piano blues;Lafayette Leake;37
5qQpn0ZokyamZjyKtkKUYD;1641.0;disney|movie tunes;Tony Jay;44
1y33FrzbcHs8MNHqVBNOqP;57.0;-;สมพร / อาริดา;1
5SXxVPEwnOVfpMv1plMShx;675.0;turbo folk;Jovana Tipsin;20
49YzV8LgNC29OE3AMfm3pc;82.0;-;Maykal;41
1vfmt9oTo2PwPdxLjOoNkr;502.0;harp|musica andina;Los Caballeros;18
5D3muNJhYYunbRkh3FKgX0;99345.0;acoustic pop;Chord Overstreet;70
2wMHvKKOWjwp77Qghee5Th;165.0;-;Kroky Frantiska Janecka;45
3HI3cIsTS3ovWHtzD7SbpF;9066.0;kyushu indie;NOBU;33
5NyWh5meFjg89p4dkCvDdJ;1422.0;deep new wave;Eight Seconds;23
0rHtbK2pK4r67coo9EsT7D;12060.0;finnish hip hop|finnish indie|suomirap;Asa;41
0KfPBKUbRfhZEUHGiVvZ8T;39.0;combos nacionales;El Pacific Combo;5
3Ojy8YhBELAnRuNYRK55uH;2080.0;hungarian metal|hungarian rock|magyar alternative;Blind Myself;21
5EvYDcSvmVxZuMe4faStNq;9943.0;funk metal|funk rock|rap rock;24-7 Spyz;25
0Q8s2AaVUbiJiV5wzR5VyC;5.0;-;The Day Dreamers;11
0JdvRpul2MbuhX7k0FUkko;17450.0;panamanian pop;Nando Boom;43
7CpmbhzkL9uT1D9nhckTxB;5118.0;melodic techno;Joseph Ashworth;33
5ACW0L3lAgfRihTOhV8awe;10006.0;flamenco urbano|pop flamenco;Lorena Santos;55
6vbv2PLT1BDbxQWHg1OYIe;819.0;classic finnish pop|classic iskelma;Eila Pellinen;15
04cVWLqEvM1oSZLhqs85K4;53376.0;israeli mediterranean;Shaked Komemy;33
08M6tIv9n50XyVLtABiZG5;7341.0;kinderchor|kindermusik|kleine hoerspiel|sleep;Sternschnuppe;47
2IUmEbKT6wvT8Jv7AEaMIA;7319.0;afropop|south african choral|world;Mahotella Queens;39
2EXaw8Daz01gkMpq8cVWBk;80.0;-;Korah;14
5KNQvpxpsSUsL8Mon7SjYn;166389.0;indian fusion|indian indie|world fusion;Karsh Kale;43
2LGEsZy8KCx5iLg4rSG0ft;243.0;karadeniz pop;Bizum Gönül;19
5PcGC2kwDSgShXbfb1D2A1;3154.0;-;Los Frontera;26
6r20qOqY7qDWI0PPTxVMlC;264121.0;drum and bass|house|pop dance|tropical house|uk dance;DJ Fresh;64
3dGTi4MZZo4zXdQaKAS1va;10905.0;classic soul|jazz funk|psychedelic soul;Rotary Connection;40
3Wwm0jHrjg72MWRt545OqJ;25252.0;j-rap;VIGORMAN;48
2HO9rAU2R7CRnmhx0ytN41;36778.0;latin classical|tango|vintage tango;Osvaldo Pugliese;43
6ZzbAScUcBuNf8oQTwONdn;147.0;italian baroque;Francesco Bartolomeo Conti;13
62J2BbaBkn6G3q7RTQTEg6;1.0;-;Giorgos Nakos;0
2ub1z8u2gmHAHutWjQYB0x;99.0;opera chorus;Choeurs de l'Opéra National de Paris;12
5ChgK18P5ebC55cWhHwxJf;1091.0;levenslied;René Riva;30
3sV7ijrP5xMHgWRlOnPTCi;1177844.0;karadeniz turkuleri|turkish pop|turkish trap pop;Koray Avcı;56
